edition_key,number_of_pages,physical_format,physical_dimensions,weight,language
OL24265453M,,Electronic resource,,,eng
OL10239435M,288,Hardcover,,,eng
OL10691657M,189,Paperback,,,eng
OL21376202M,,,,,dut
OL10738070M,,Paperback,,,eng
OL9827465M,192,Paperback,,,
OL43581194M,,,,,eng
OL57743660M,320,,,,eng
OL35499270M,326,,,,eng
OL27198876M,320,Paperback,20.96 x 13.49 x 2.03 centimeters,249 grams,eng
OL56900534M,640,Paperback,,,spa
OL38183720M,,,,,eng
OL49950513M,,,,,pol
OL48903613M,,,,0.315,eng
OL39272166M,,,,0.300,eng
OL39203166M,384,paperback,,,
OL31924968M,,mp3 cd,,,
OL49294668M,,,,0.830 ,eng
OL46849212M,287,Ebook,,,
OL37736394M,400,paperback,,,spa
OL36214401M,416,Paperback,21 x 13.5 x 3 centimeters,500 grams,ger
OL35891593M,368,Paperback,20.5 x 13.5 x 2.2 centimeters,,por
OL35256642M,400,Paperback,,,dut
OL32956533M,450,Paperback,17.9 x 11 x 2.2 centimeters,246 grams,fre
OL38095018M,400,Paperback,20 x 13 x 2.5 centimeters,340 grams,spa
OL10273554M,416,Paperback,6.4 x 4.2 x 1.2 inches,6.4 ounces,eng
OL21626261M,,,,,spa
OL14979987M,189,Hardcover,,,eng
OL26419013M,186,Paperback,,4.8 ounces,
OL1560669M,235,,,,eng
OL60629690M,320,Paperback,,,dut
OL36858187M,,,,,eng
OL38862658M,1,audio cd,,,
OL33498539M,320,,,,eng
OL29273817M,320,,,,eng
OL27440166M,384,hardcover,,,
OL21223496M,189,,,,eng
OL38429115M,512,,,0.010 ,eng
OL36978097M,,,,,eng
OL42024692M,341,,,,eng
OL32560275M,396,paperback,,,
OL28169596M,341,Paperback,,,eng
OL40224862M,334,Capa dura,,,
OL35366895M,376,paperback,,,tur
OL32956532M,250,eBook,,,por
OL17216230M,189,,,,eng
OL10690923M,189,Mass Market Paperback,,,eng
OL10749883M,,Paperback,,,eng
OL21366017M,240,,,,eng
OL14977002M,186,,,,eng
OL52982047M,372,,,,ger
OL43407856M,384,,,,eng
OL38386868M,,,,,eng
OL24238949M,189,,,,eng
OL37998217M,,,,0.300 ,eng
OL36978096M,,,,,eng
OL40232570M,412,,,,ger
OL44897339M,416,hardcover,,,rus
OL46524413M,336,,,,por
OL51108597M,,,,0.296,eng
OL41724387M,,hardcover,,,
OL42883035M,,,,,eng
OL39223386M,536,Paperback,22.86 x 15.24 x 3.81 centimeters,620 grams,eng
OL39479218M,384,trade paperback,20.96 x 13.49 x 2.29 centimeters,295 grams,eng
OL35799667M,384,Paperback,23.4 x 15.3 x  centimeters,,eng
OL30570882M,376,Paperback,,300 grams,tur
OL28220059M,1,audio cd,,,eng
OL38055215M,,,,,eng
OL38052515M,,,,,eng
OL37427842M,,,,0.459,eng
OL10739716M,,Paperback,,,
OL10239259M,192,Hardcover,,,eng
OL24617972M,253,,,,eng
OL20583136M,,,,,ita
OL20583210M,,,,,gre
OL10691242M,189,Mass Market Paperback,,,eng
OL9745249M,288,Hardcover,,,eng
OL9750014M,288,Hardcover,,,eng
OL18879270M,187,,,,eng
OL9744332M,,Paperback,6.8 x 4.2 x 0.8 inches,3.2 ounces,eng
OL29572940M,192,,,,eng
OL29127334M,220,,,,eng
OL10280675M,190,Paperback,,,
OL9324449M,248,Paperback,8.8 x 5.8 x 0.5 inches,10.4 ounces,eng
OL17389748M,,,,,eng
OL18817321M,221,,,,eng
OL9564707M,,Mass Market Paperback,,,eng
OL14976794M,188,Paperback,,,eng
OL14977575M,188,,,,eng
OL17434943M,188,,,,eng
OL28951071M,221,,,,eng
OL9805839M,188,Paperback,,,eng
OL7421983M,221,,,,eng
OL29264414M,192,,,,eng
OL9754135M,187,Paperback,,,eng
OL10738442M,189,Paperback,,,eng
OL24938967M,189,,,,eng
