edition_key,publish_date,publish_year,publisher,publish_place,publish_country,series
OL35651243M,"Nov 07, 2013",2013,Epsilon Yayıncılık,,,
OL32419698M,2014,2014,Fleuve éditions,"Paris, France",fr,Territoires #1
OL31129806M,2013,2013,Atria Paperback,"New York City, USA",nyu,Hopeless. #1
OL27809972M,2014,2014,Wydawnictwo Otwarte,"Kraków, Poland",,
OL9561823M,1980,1980,Harlequin Mills & Boon,,,
OL377544M,1998,1998,Ballantine Pub. Group,New York,nyu,
OL15125290M,1988,1988,Futura,,xxk,
OL10683605M,"July 12, 1980",1980,Ballantine Books,,,
OL9639148M,"June 12, 1981",1981,Ballantine Books,,,
OL11558534M,June 1987,1987,Amereon Ltd,,,
OL9598700M,"October 8, 2007",2007,Harcourt,,,
OL8845011M,February 2003,2003,New Millennium Audio,,,
OL11000892M,September 1991,1991,Perfection Learning Prebound,,,
OL20947352M,"November, 2000",2000,The Ballantine Publishing Group,"New York, USA",nyu,
OL17892075M,2007,2007,Harcourt,Orlando,flu,
OL52236850M,2024,2024,Alfaguara,"Barcelona, España",,Ciudad Medialuna 1
OL45128496M,"Aug 03, 2021",2021,Audible Studios on Brilliance Audio,"Grand Haven, Michigan, USA",,"Crescent City, Book 1"
OL35361326M,"Oct 28, 2021",2021,Dex Yayinevi,İstanbul,,
OL35866018M,2021,2021,Bloomsbury,"London, UK",,"A Crescent City novel, Book 1"
OL34724098M,2019,2019,Bloomsbury,"London, UK",,"Crescent City, Book 1"
OL30342532M,2020,2020,Alfaguara,"Ciudad de México, México",,Ciudad Medialuna
OL30157071M,"March 3, 2020",2020,Bloomsbury,"London, UK",,
OL31979042M,"May 12, 2020",2020,BrillianceAudio,"Grand Haven, Michigan, USA",,Crescent City
OL28343065M,"Mar 02, 2021",2021,Bloomsbury Publishing,"New York City, USA",,"Crescent City, Book 1"
OL48447846M,2023,2023,Penguin Publishing Group,,,
OL32499504M,"Mar 22, 2016",2016,Tantor Audio,,,
OL10280690M,1990,1990,Mills and Boon,,,
OL10239225M,"November 9, 1990",1990,Harlequin Mills & Boon Ltd (Large Print Books),,,
OL10691758M,"February 1, 1991",1991,Harlequin,,,"Harlequin Romance, No 3114"
OL24737464M,1991,1991,Harlequin Books,Toronto,onc,Harlequin romance -- 3114
OL22380110M,1993,1993,Magna Large Print Bks.,Long Preston,enk,
OL10738477M,April 1987,1987,Harlequin Books,America,,
OL10738477M,April 1987,1987,Harlequin,America,,
OL14981209M,June 1986,1986,Mills & Boon,London,xxk,
OL32037490M,"Oct 04, 2011",2011,New American Library,,,
OL32037489M,"Aug 04, 2015",2015,Recorded Books on Brilliance Audio,,,
OL32037492M,"Feb 12, 2009",2009,"Recorded Books, Inc. and Blackstone Publishing",,,
OL27549830M,"Feb 19, 2014",2014,Berkley,,,
OL39765219M,2022,2022,Atria Books,,,
OL14980183M,1980,1980,Mills & B.,,xxk,
