work_key,ratings_count_1,ratings_count_2,ratings_count_3,ratings_count_4,ratings_count_5
OL20893778W,1,2,3,5,15
OL3498612W,1,1,2,9,5
OL11327973W,0,3,5,12,6
OL2959374W,0,1,6,6,6
OL16481385W,1,1,4,11,7
OL11327962W,0,2,4,6,8
OL4342716W,1,1,6,7,10
OL3845179W,0,2,2,4,2
OL15411754W,0,3,4,6,7
OL17719508W,5,2,6,4,47
OL3476075W,0,1,8,5,3
OL3476079W,2,2,4,4,3
OL3845101W,0,3,7,10,3
OL3771180W,1,1,5,7,4
OL8315355W,0,2,2,9,7
OL3845173W,1,0,4,7,3
OL4233121W,2,0,0,5,8
OL5236211W,2,0,5,9,3
OL3845160W,1,1,4,4,3
OL11327982W,2,2,8,9,4
OL2705619W,3,3,5,4,4
OL3770466W,2,3,2,2,4
OL5236199W,0,0,9,12,5
OL4225414W,2,3,2,5,6
OL8315358W,1,2,7,6,10
OL21435W,2,2,2,8,27
OL3775489W,1,3,4,5,4
OL16707517W,0,0,3,5,1
OL3457723W,0,0,2,4,2
OL3498880W,5,0,2,0,1
OL4092663W,1,0,1,3,2
OL3457898W,1,0,0,6,2
OL29215706W,3,1,1,5,4
OL3395282W,0,1,3,3,3
OL3498721W,0,1,2,1,0
OL213270W,1,0,0,1,6
OL3773967W,0,0,2,4,5
OL3498599W,0,2,2,0,2
OL4996160W,0,1,0,2,4
OL3457964W,0,0,2,2,2
OL4182012W,0,2,5,6,4
OL15790348W,1,1,3,1,4
OL14920191W,1,0,1,0,1
OL21692056W,3,0,8,19,30
OL4080602W,2,2,2,2,2
OL7990736W,0,0,3,3,3
OL1673205W,3,1,3,13,25
OL3775484W,0,3,2,2,1
OL5236248W,1,0,6,10,3
OL3467605W,0,1,3,1,4
OL4092682W,1,0,0,3,2
OL111623W,0,1,0,2,2
OL3773956W,0,1,2,4,4
OL21574349W,1,0,0,1,5
OL11329114W,0,0,3,4,0
OL22535730W,2,0,0,2,1
OL3759090W,1,0,3,3,1
OL3498574W,1,0,3,7,5
OL17542361W,0,1,4,1,4
OL3518627W,0,0,1,7,4
OL15715739W,1,0,2,6,8
OL8315279W,1,0,1,5,5
OL3457969W,0,0,2,6,0
OL15151142W,0,0,3,2,6
OL213274W,0,0,2,3,9
OL3759489W,3,2,1,1,1
OL3775480W,1,0,2,3,2
OL19352053W,1,0,0,7,5
OL17717W,0,1,0,1,0
OL3457679W,1,0,2,3,2
OL17356883W,6,4,12,9,49
OL3771074W,1,3,1,3,2
OL5691862W,1,0,3,5,6
OL5720027W,7,4,15,12,39
OL62979W,1,4,5,15,9
OL167347W,0,1,1,4,2
OL3498608W,0,0,4,2,4
OL4278173W,2,1,1,7,5
OL16915199W,1,5,5,6,18
OL3498971W,0,1,3,4,10
OL3771237W,2,1,2,1,2
OL3845129W,0,0,2,4,3
OL15145531W,0,4,2,2,2
OL3759099W,1,0,4,2,3
OL11327932W,1,2,3,2,3
OL9367872W,0,0,2,5,3
OL5688474W,0,0,1,1,8
OL4331821W,0,0,2,2,1
OL1855944W,3,5,9,17,15
OL15399487W,0,0,1,4,6
OL3771274W,1,0,1,4,0
OL14920253W,0,0,2,3,4
OL554613W,0,0,1,0,2
OL4787985W,2,1,2,2,3
OL16552717W,1,0,2,2,4
OL9195994W,0,0,3,6,5
OL5809069W,1,0,0,2,1
OL4215992W,0,3,3,4,2
OL4092643W,1,0,0,1,5
OL4181974W,2,0,2,3,6
OL1902239W,0,1,0,3,3
OL10530542W,0,0,0,3,2
OL555417W,0,1,0,3,1
OL1999672W,0,1,2,3,3
OL20168471W,0,0,1,3,2
OL2959361W,0,0,2,4,2
OL3771201W,4,0,1,3,1
OL17388303W,0,1,2,1,5
OL8315345W,0,1,2,1,2
OL3395308W,1,1,0,3,5
OL15434793W,0,2,0,5,5
OL3754795W,1,0,2,2,1
OL7664463W,1,2,2,5,2
OL3457986W,0,0,0,4,4
OL3498584W,1,1,5,2,1
OL15186060W,1,1,3,2,5
OL18170678W,1,0,1,5,2
OL8315314W,0,0,1,1,5
OL3803114W,1,0,2,4,4
OL16813583W,1,0,9,17,9
OL25917284W,0,0,2,2,6
OL5236157W,1,1,3,4,0
OL3457857W,0,0,1,2,3
