edition_key,publish_date,publish_year,publisher,publish_place,publish_country,series
OL38371851M,2015,2015,Harlequin Enterprises ULC,,,
OL38278013M,2013,2013,Harlequin Enterprises ULC,,,
OL10240375M,May 1996,1996,Thorndike Pr,,,
OL10691308M,"January 1, 1983",1983,harlequin,,,Harlequin Romance # 2527
OL10691308M,"January 1, 1983",1983,Harlequin,,,Harlequin Romance # 2527
OL33275294M,March 1984,1984,Harlequin Holland,"Amsterdam, the Netherlands",,"Bouquet Reeks, 598"
OL22291004M,1982,1982,Mills & Boon,London,xxk,
OL14977556M,1982,1982,Worldwide Romance,London,xxk,
OL14980494M,1982,1982,Worldwide Romance,London,xxk,
OL44227980M,2002,2002,Penguin Publishing Group,,,
OL39220406M,"Jan 01, 2007",2007,Recorded Books,,,
OL38655984M,2010,2010,"Orion Publishing Group, Limited",,,
OL38657785M,2009,2009,"Orion Publishing Group, Limited",,,
OL33387969M,2006,2006,"Little, Brown Book Group Limited",,,
OL32025996M,"Oct 01, 2011",2011,Gollancz,,,
OL32025997M,,,Orion (an Imprint of The Orion Publishing Group Ltd ),,,
OL27627573M,"Feb 01, 2012",2012,Orion,,,
OL27132139M,2007,2007,Qi huan ji di chu ban,Taibei Shi,ch,Nan fang xi xue gui xi lie = -- Southern vampire novel
OL27132139M,2007,2007,Qi huan ji di chu ban,Taibei Shi,ch,Huan xiang cang shu ge -- 07
OL27132139M,2007,2007,Qi huan ji di chu ban,Taibei Shi,ch,Huan xiang cang shu ge -- 07.
OL27132139M,2007,2007,Cheng bang wen hua shi ye gu fen you xian gong si,Taibei Shi,ch,Nan fang xi xue gui xi lie = -- Southern vampire novel
OL27132139M,2007,2007,Cheng bang wen hua shi ye gu fen you xian gong si,Taibei Shi,ch,Huan xiang cang shu ge -- 07
OL27132139M,2007,2007,Cheng bang wen hua shi ye gu fen you xian gong si,Taibei Shi,ch,Huan xiang cang shu ge -- 07.
OL24365060M,march 2004,2004,Penguin Publishing,,,
OL23055798M,2004,2004,Wheeler Publishing,S.l,,
OL24251503M,2009,2009,"Penguin USA, Inc.",New York,nyu,
OL24008116M,2008,2008,Ace Books,New York,nyu,
OL24365061M,march 2004,2004,Penguin Publishing,,,
OL15576803M,2004,2004,Orbit,London,enk,A Sookie Stackhouse vampire mystery
OL3302211M,2004,2004,Wheeler Pub.,"Waterville, Me",meu,
OL3302211M,2004,2004,Brand: Wheeler Publishing,"Waterville, Me",meu,
OL3302211M,2004,2004,Wheeler Pub Inc,"Waterville, Me",meu,
OL24325644M,May 2001,2001,Charlaine Harris,,,
OL22839393M,1986,1986,Mills & Boon,London,xxk,
OL29567318M,2009,2009,"Harlequin Enterprises, Limited",,,
OL29105731M,2011,2011,"Harlequin Mills & Boon, Limited",,,
OL28985527M,2006,2006,"Harlequin Mills & Boon, Limited",,,
OL28987573M,2006,2006,"Harlequin Mills & Boon, Limited",,,
OL24320279M,2006,2006,Harlequin,"Toronto, Ontario",nyu,
OL9643191M,"August 1, 2006",2006,Harlequin,,,
OL44284269M,2022,2022,L J Shen,,,
OL48181089M,2023,2023,"Penguin Books, Limited",,,
OL27748513M,"Jan 07, 2019",2019,LJ Shen,,,
OL40148917M,2022,2022,"Editorial Planeta, S. A.",,,
OL40138664M,2023,2023,Cengage Gale,,,
OL32159760M,"May 25, 2021",2021,Berkley,,,
OL29477424M,2020,2020,"Penguin Books, Limited",,,
OL28042755M,"May 19, 2020",2020,Berkley,,,
OL10690946M,1977,1977,Harlequin Books,,,Harlequin Romance #2102
OL1448061M,1993,1993,Avon,New York,nyu,
OL22933332M,1887,1887,,,meu,
OL7662818M,"June 1, 1990",1990,Pocket,,,
OL8137302M,"July 12, 2006",2006,Thorndike Press,,,
OL22646923M,1985,1985,Pocket Books,New York,xxu,
OL7663839M,"July 1, 1991",1991,Pocket,,,
OL14976962M,1980,1980,Mills and Boon,London,xxk,
OL10691191M,1981,1981,Harlequin,,,
OL10691191M,1981,1981,Harlequin Books,,,
OL50710345M,"June 25, 2024",2024,Wednesday Books,,,You've Reached Sam
OL50546555M,"February 14, 2023",2023,Orange Books,,,You've Reached Sam
OL46523548M,"August 1, 2023",2023,Otava,,,You've Reached Sam
OL37994558M,"May 30, 2022",2022,Pan Macmillan,,,You've Reached Sam
OL34118915M,"November 9, 2021",2021,Wednesday Books,,,You've Reached Sam
OL32395936M,"November 9, 2021",2021,Wednesday Books,,,You've Reached Sam
OL23539834M,1977,1977,Harlequin Books,Toronto,onc,Harlequin Books
OL23539834M,1977,1977,Harlequin Books,Toronto,onc,Harlequin  Presents -- 200
OL23539834M,1977,1977,Harlequin Books,London,onc,Harlequin Books
OL23539834M,1977,1977,Harlequin Books,London,onc,Harlequin  Presents -- 200
OL4593395M,1976,1976,Mills and Boon,London,enk,
OL14980418M,1982,1982,Mills & Boon,London,xxk,
OL16743097M,1984,1984,Mills & Boon,London,xxk,Best seller romance
OL37011194M,2021,2021,Ichara Publishing,,,
OL38562547M,2008,2008,"Izd-vo ""AST""",Moskva,ru,Ocharovanie
OL3415246M,2006,2006,Thorndike Press,"Waterville, Me",meu,
OL24293638M,2010,2010,HarperCollins,New York,nyu,
OL29242967M,2014,2014,"Harlequin Mills & Boon, Limited",,,
OL24930177M,1997,1997,Harlequin,Toronto,onc,The Best of Betty Neels
OL24930177M,1997,1997,Harlequin,New York,onc,The Best of Betty Neels
OL7416938M,"April 11, 2006",2006,Harlequin,,,
OL36781555M,2011,2011,Harlequin Enterprises ULC,,,
OL28953433M,1996,1996,"Harlequin Mills & Boon, Limited",,,
OL37929391M,May 22 2022,2022,Roseanna banbury,,,
OL10807035M,May 1992,1992,Ulverscroft Large Print,,,Magna Romance
OL24944807M,2006,2006,Harlequin Books,Toronto,onc,Harlequin presents -- 2559
OL24944807M,2006,2006,Harlequin,Toronto,onc,Harlequin presents -- 2559
OL32179832M,"Jan 06, 2019",2019,Independently published,,,
OL28177179M,"Mar 12, 2019",2019,Audible Studios on Brilliance Audio,,,
OL39470804M,2020,2020,Penguin Random house UK,US,,
OL39490155M,"Sep 01, 2022",2022,Wydawnictwo Kobiece,,,
OL9591015M,"February 1, 2005",2005,Severn House Publishers,,,
OL23055868M,2000,2000,Izd-vo AST,Moskva,ru ,Sobranie sochineniĭ
OL9713185M,"April 1, 1991",1991,Harlequin,,,"Harlequin Presents, No 1359"
OL24767764M,1991,1991,Harlequin Books,Toronto,onc,Harlequin presents -- 1359
OL24767764M,1991,1991,Harlequin,Toronto,onc,Harlequin presents -- 1359
OL24212928M,1985,1985,Pocket Books,New York,nyu,
OL24212928M,1985,1985,Pocket,New York,nyu,
OL22329584M,1986,1986,Chivers,Bath,xxk,The Windsor selection
OL22153495M,1986,1986,Firecrest,Bath,xxk,
OL7661809M,"July 1, 1988",1988,Pocket,,,
OL24516449M,1985,1985,Pocket Books,New York,nyu,
OL24516449M,1985,1985,Pocket,New York,nyu,
OL50546556M,"November 16, 2022",2022,cbj Jugendbuch,,,You've Reached Sam
OL28204464M,2015,2015,Mills & Boon,"Richmond, Surrey",enk,Mills & Boon romance
OL28204464M,2015,2015,M & B,"Richmond, Surrey",enk,Mills & Boon romance
OL28204464M,2015,2015,HARPER COLLINS,"Richmond, Surrey",enk,Mills & Boon romance
OL6782628M,2000,2000,G.K. Hall,"Thorndike, Me",meu,
OL24375941M,1978,1978,Harlequin,Toronto,onc,Harlequin presents -- 251
OL29243036M,2013,2013,"Harlequin Mills & Boon, Limited",,,
OL10739453M,"December 1, 2002",2002,Harlequin,,,Harlequin Presents # 2289
OL42573739M,2021,2021,Independently Published,,,
OL42698667M,2023,2023,HarperCollins Publishers,,,
OL29057279M,2011,2011,HarperCollins Publishers,,,
OL1977522M,1989,1989,Mills & Boon,"Richmond, Surrey",enk,
OL14981638M,1989,1989,Mills & Boon,,xxk,
OL38380724M,2017,2017,Harlequin Enterprises ULC,,,
OL18915683M,1997,1997,Mills & Boon,Richmond,enk,
OL18915683M,1997,1997,HARLEQUIN MILLS BOON,Richmond,enk,
