work_key,subject
OL213270W,Fiction
OL213270W,"Fiction, romance, suspense"
OL213270W,"Fiction, thrillers, general"
OL213270W,"Fiction, general"
OL213270W,Romance-language fiction
OL3773967W,"Fiction, Romance, Contemporary"
OL3773967W,"Man-woman relationships, fiction"
OL3773967W,"Brides, fiction"
OL3773967W,"Passion, fiction"
OL3773967W,"Princes, fiction"
OL3498599W,"Fiction, Romance, Contemporary"
OL4996160W,"Fiction, Romance, Historical"
OL4996160W,Dark romance
OL4996160W,spy
OL4996160W,alpha male
OL4996160W,Western Romance
OL4996160W,"Bodice ripper, fiction"
OL4996160W,Brandon-Morgan series
OL3457964W,"Fiction, Romance, Contemporary"
OL3457964W,"Housekeepers, fiction"
OL4182012W,Fiction
OL4182012W,Romance
OL4182012W,Contemporary
OL4182012W,Harlequin
OL4182012W,Marriage
OL4182012W,Pregnancy
OL4182012W,Amnesia
OL4182012W,Merchant bank
OL4182012W,Law clerk
OL4182012W,"Fiction, romance, general"
OL15790348W,"Fiction, Romance, Contemporary"
OL14920191W,Imaginary companions
OL14920191W,Fiction
OL14920191W,Literature
