edition_key,work_key,title,subtitle,edition_name
OL29242967M,OL3457907W,Three for a Wedding,,
OL24930177M,OL3457907W,Three for a Wedding,,
OL7416938M,OL3457907W,Three For A Wedding (Best of Betty Neels),,
OL36781555M,OL3498613W,Mistress by Arrangement,,
OL28953433M,OL8315270W,Borrowed Wife,,
OL37929391M,OL8315270W,Borrowed Wife,,
OL10807035M,OL3770380W,Cage of Ice,,Lrg edition
OL24944807M,OL3475959W,By Royal Demand,,1st North American publication.
OL32179832M,OL20512441W,The Kiss Thief,,
OL28177179M,OL20512441W,"Kiss Thief, The",,
OL39470804M,OL20734329W,Beach Read,,
OL39490155M,OL20734329W,Beach Read,,
OL9591015M,OL15659W,Keeper of the Heart,,
OL23055868M,OL15659W,Khrani︠a︡shchai︠a︡ serdt︠s︡e,[rpman],
OL9713185M,OL4181997W,Shattered Trust,,
OL24767764M,OL4181997W,Shattered Trust,,Harlequin presents 1st ed.
OL24212928M,OL810243W,Lost lady,,
OL22329584M,OL810243W,Lost lady,,Large print ed.
OL22153495M,OL810243W,Lost lady,,
OL7661809M,OL810243W,Lost Lady,,
OL24516449M,OL810243W,Lost lady,,
OL50546556M,OL24457490W,"Bleib bei mir, Sam",,
OL28204464M,OL20833390W,The Innocent's Sinful Craving,,
OL6782628M,OL14862472W,Show me,,
OL24375941M,OL11327725W,The Devil at Archangel,,
OL29243036M,OL3759044W,Christmas Eve Wedding,,
OL10739453M,OL3759044W,Christmas Eve Wedding,,
OL42573739M,OL27244347W,Forever after All,A Marriage of Convenience Novel,
OL42698667M,OL5682990W,Perfect Wife,,
OL29057279M,OL5682990W,Perfect Wife,,
OL1977522M,OL3519301W,Ever since eden,,
OL14981638M,OL3519301W,Ever Since Eden,,
OL38380724M,OL3457907W,Three for a Wedding,,
OL18915683M,OL3457907W,Three for a Wedding,,Collector's Editon
OL7421956M,OL3457907W,Three for a Wedding,,
